quarter,starter,trade up,premium,city,state
88,2012 Q1,65000.0,114900.0,220800.0,Las Vegas,Nevada
89,2012 Q1,56000.0,132166.7,344933.3,Fort Lauderdale,Florida
90,2012 Q1,73966.66,139933.3,310566.7,Dallas,Texas
91,2012 Q1,55050.0,145909.0,430355.0,West Palm Beach,Florida
92,2012 Q1,105000.0,184966.7,368966.7,Riverside-San Bernardino,California
93,2012 Q1,51666.67,109900.0,257663.3,Tampa-St. Petersburg,Florida
94,2012 Q1,199933.3,354950.0,786333.3,Los Angeles,California
95,2012 Q1,69300.0,129966.7,318250.0,Phoenix,Arizona
96,2012 Q1,69983.34,128966.7,277166.7,Houston,Texas
97,2012 Q1,49933.0,124900.0,289000.0,Atlanta,Georgia
98,2012 Q1,88666.66,175000.0,361600.0,Chicago,Illinois
99,2012 Q1,199299.7,350000.0,681666.0,New York,New York
100,2012 Q2,73933.34,139450.0,276483.3,Fresno,California
101,2012 Q2,64918.0,123200.0,234950.0,Bakersfield,California
102,2012 Q2,86150.0,141633.3,253266.7,Baton Rouge,Louisiana
103,2012 Q2,399000.0,631333.3,1314292.0,San Francisco,California
104,2012 Q2,232666.7,375283.3,761991.7,Ventura County,California
105,2012 Q2,250000.0,475000.0,937500.0,Honolulu,Hawaii
106,2012 Q2,318249.7,563000.0,1224658.0,San Jose,California
107,2012 Q2,41333.17,89933.34,183233.3,Toledo,Ohio
108,2012 Q2,79866.66,113350.0,199983.3,El Paso,Texas
109,2012 Q2,123333.3,201616.7,354908.3,Tacoma,Washington
110,2012 Q2,59952.33,113600.0,203300.0,Wichita,Kansas
111,2012 Q2,69900.0,115550.0,211100.0,Syracuse,New York
112,2012 Q2,109600.0,177516.7,334683.3,Salt Lake City,Utah
113,2012 Q2,103111.0,159933.3,294616.7,Albuquerque,New Mexico
114,2012 Q2,124650.0,189598.3,354966.7,Colorado Springs,Colorado
115,2012 Q2,86000.0,148166.7,279600.0,New Orleans,Louisiana
116,2012 Q2,103233.3,189966.7,328266.7,Wilmington,Delaware
117,2012 Q2,96450.0,169900.0,515000.0,Charleston,South Carolina
118,2012 Q2,69900.0,119266.7,226116.7,Buffalo,New York
119,2012 Q2,180416.7,352670.2,771475.0,Oakland,California
120,2012 Q2,54966.67,115616.7,228266.7,Akron,Ohio
121,2012 Q2,65384.17,127933.3,241433.3,Gary,Indiana
122,2012 Q2,65300.0,121600.0,233233.3,Winston-Salem,North Carolina
123,2012 Q2,43866.67,95300.0,189433.3,Dayton,Ohio
124,2012 Q2,66733.34,127966.7,244900.0,Omaha,Nebraska
125,2012 Q2,98663.34,175000.0,323148.3,Richmond,Virginia
126,2012 Q2,70725.0,119900.0,223233.3,Rochester,New York
127,2012 Q2,64133.33,125000.0,239933.3,Little Rock,Arkansas
128,2012 Q2,179233.3,336633.3,710446.2,Silver Spring-Frederick-Rockville,Maryland
129,2012 Q2,50856.33,112333.3,229900.0,Greensboro-High Point,North Carolina
130,2012 Q2,99766.66,169933.3,297633.3,Allentown,Pennsylvania
131,2012 Q2,119280.0,179900.0,308316.7,Albany,New York
132,2012 Q2,129900.0,200499.7,359733.3,Worcester,Massachusetts
133,2012 Q2,122600.0,209512.8,398266.7,New Haven,Connecticut
134,2012 Q2,49450.17,124600.0,248500.0,Birmingham,Alabama
135,2012 Q2,83966.66,169766.7,334333.3,Milwaukee,Wisconsin
136,2012 Q2,105466.7,189900.0,324900.0,Madison,Wisconsin
137,2012 Q2,59900.0,119600.0,224933.3,Grand Rapids,Michigan
138,2012 Q2,52616.67,109821.0,224333.3,Tulsa,Oklahoma
139,2012 Q2,69933.16,122383.3,249966.7,Louisville,Kentucky
140,2012 Q2,67833.34,127666.7,261300.0,Greenville,South Carolina
141,2012 Q2,60633.33,119900.0,229250.0,Columbia,South Carolina
142,2012 Q2,79933.0,142050.0,291000.0,Tucson,Arizona
143,2012 Q2,115000.0,201666.7,402964.2,Sacramento,California
144,2012 Q2,87433.34,178666.7,469950.0,Lake County-Kenosha County,IL-WI
145,2012 Q2,58133.33,110666.7,269933.3,Deltona-Daytona Beach-Ormond Beach,Florida
146,2012 Q2,181600.0,371598.3,986583.3,Fairfield County,Connecticut
147,2012 Q2,159950.0,289800.0,599633.3,Seattle,Washington
148,2012 Q2,42483.33,104966.7,229833.3,Memphis,Tennessee
149,2012 Q2,60000.0,116100.0,226566.7,Oklahoma City,Oklahoma
150,2012 Q2,135000.0,216633.3,368500.0,Hartford,Connecticut
151,2012 Q2,113500.0,181333.3,395750.0,Austin,Texas
152,2012 Q2,109966.7,184933.3,353416.7,Raleigh,North Carolina
153,2012 Q2,74966.66,159300.0,424220.3,North Port-Sarasota-Bradenton,Florida
154,2012 Q2,59850.0,122483.3,266300.0,Knoxville,Tennessee
155,2012 Q2,135633.3,219900.0,399933.3,Portland,Oregon
156,2012 Q2,191616.7,317283.3,609566.5,Boston,Massachusetts
157,2012 Q2,15000.0,49900.0,131616.7,Detroit,Michigan
158,2012 Q2,133300.0,219600.0,411566.7,Providence,Rhode Island
159,2012 Q2,59966.67,129900.0,312683.3,Jacksonville,Florida
160,2012 Q2,199300.0,339000.0,624966.7,Cambridge-Newton-Framingham,Massachusetts
161,2012 Q2,69896.0,129900.0,249900.0,Cincinnati,Ohio
162,2012 Q2,60000.0,120000.0,279048.0,Orlando,Florida
163,2012 Q2,64266.67,129900.0,259833.3,Columbus,Ohio
164,2012 Q2,114266.7,179900.0,299900.0,Camden,New Jersey
165,2012 Q2,66316.66,139900.0,383300.0,Cape Coral-Fort Myers,Florida
166,2012 Q2,169900.0,267781.5,477933.3,Montgomery County-Bucks County-Chester County,Pennsylvania
167,2012 Q2,119900.0,199900.0,374316.7,Virginia Beach-Norfolk,Virginia
168,2012 Q2,48133.33,119466.7,261600.0,Warren-Troy-Farmington Hills,Michigan
169,2012 Q2,266616.7,448233.3,863483.2,Orange County,California
170,2012 Q2,59933.33,129900.0,274600.0,Philadelphia,Pennsylvania
171,2012 Q2,57466.67,113566.7,239900.0,Pittsburgh,Pennsylvania
172,2012 Q2,57333.33,134966.7,366300.0,Fort Lauderdale,Florida
173,2012 Q2,121299.7,219266.7,437933.3,Denver,Colorado
174,2012 Q2,69000.0,127266.7,275000.0,San Antonio,Texas
175,2012 Q2,74283.16,127333.3,273183.2,Fort Worth,Texas
176,2012 Q2,199000.0,339933.3,709000.0,San Diego,California
177,2012 Q2,64300.0,134966.7,251633.3,Kansas City,Missouri
178,2012 Q2,71966.66,159966.3,479275.0,Miami,Florida
179,2012 Q2,58633.33,114966.7,229900.0,Cleveland,Ohio
180,2012 Q2,63375.0,120000.0,245633.3,Indianapolis,Indiana
181,2012 Q2,97933.34,169900.0,343933.3,Minneapolis-St. Paul,Minnesota
182,2012 Q2,102333.3,223633.3,449633.3,Baltimore,Maryland
183,2012 Q2,165633.3,296000.0,558000.0,Newark,New Jersey
184,2012 Q2,68666.66,115000.0,226016.7,Las Vegas,Nevada
185,2012 Q2,79900.0,146711.0,311133.3,Nashville,Tennessee
186,2012 Q2,239333.0,369300.0,705000.0,Long Island,New York
187,2012 Q2,150666.7,300000.0,606633.3,Washington,District of Columbia
188,2012 Q2,69933.34,139900.0,310800.0,Charlotte,North Carolina
189,2012 Q2,104633.3,185308.3,374966.7,Riverside-San Bernardino,California
190,2012 Q2,74496.66,137500.0,347300.0,Phoenix,Arizona
191,2012 Q2,60833.33,129600.0,257233.3,St. Louis,Missouri
192,2012 Q2,57366.67,144966.7,437666.7,West Palm Beach,Florida
193,2012 Q2,54466.67,110000.0,266333.3,Tampa-St. Petersburg,Florida
194,2012 Q2,75083.34,144566.7,324833.3,Dallas,Texas
195,2012 Q2,199966.7,350000.0,807900.0,Los Angeles,California
196,2012 Q2,70300.0,129900.0,280266.7,Houston,Texas
197,2012 Q2,49900.0,124933.3,299766.7,Atlanta,Georgia
198,2012 Q2,85000.0,169933.3,359000.0,Chicago,Illinois
199,2012 Q2,199000.0,349900.0,696000.0,New York,New York
200,2012 Q3,73333.34,147450.0,296833.0,Fresno,California
201,2012 Q3,427000.0,669366.7,1495833.0,San Francisco,California
202,2012 Q3,66416.5,127800.0,249966.7,Bakersfield,California
203,2012 Q3,88983.34,142633.3,256300.0,Baton Rouge,Louisiana
204,2012 Q3,239666.5,389300.0,794500.0,Ventura County,California
205,2012 Q3,339308.3,588491.7,1282992.0,San Jose,California
206,2012 Q3,250466.7,484333.3,927333.3,Honolulu,Hawaii
207,2012 Q3,39966.33,89900.0,179900.0,Toledo,Ohio
208,2012 Q3,109966.7,179633.2,357833.3,Salt Lake City,Utah
209,2012 Q3,81000.0,116150.0,204750.0,El Paso,Texas
210,2012 Q3,124666.7,199981.3,371550.0,Tacoma,Washington
